"RecordType","Survey","Quarter","Country","Ship","Gear","SweepLngt","GearExp","DoorType","StNo","HaulNo","Year","Month","Day","TimeShot","Stratum","HaulDur","DayNight","ShootLat","ShootLong","HaulLat","HaulLong","StatRec","Depth","HaulVal","HydroStNo","StdSpecRecCode","BycSpecRecCode","DataType","Netopening","Rigging","Tickler","Distance","Warplngt","Warpdia","WarpDen","DoorSurface","DoorWgt","DoorSpread","WingSpread","Buoyancy","KiteDim","WgtGroundRope","TowDir","GroundSpeed","SpeedWater","SurCurDir","SurCurSpeed","BotCurDir","BotCurSpeed","WindDir","WindSpeed","SwellDir","SwellHeight","SurTemp","BotTemp","SurSal","BotSal","ThermoCline","ThClineDepth","DateofCalculation"
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",88,29,2017,2,28,1030,"H4",60,"D",36.5188,-7.0577,36.5513,-7.0122,"02E2",456,"V",1,1,0,"R",1.9,NA,NA,5436,1150,24,NA,1.8,NA,112,22.5,NA,-9,NA,45,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,13.7,-9,36.48,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",102,31,2017,2,28,1514,"H5",60,"D",36.5455,-7.1257,36.4987,-7.108,"02E2",529,"V",1,1,0,"R",1.8,NA,NA,5438,1225,24,NA,1.8,NA,109,21.4,NA,-9,NA,167,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,-9,-9,-9,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",84,30,2017,2,28,1310,"H4",60,"D",36.6433,-7.0415,36.5958,-7.0538,"02E2",493,"V",1,1,0,"R",1.8,NA,NA,5392,1175,24,NA,1.8,NA,109,21.5,NA,-9,NA,186,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,-9,-9,-9,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",76,34,2017,3,1,1310,"H4",60,"D",36.7638,-7.1037,36.7958,-7.1497,"02E2",373,"V",1,1,0,"R",1.8,NA,NA,5423,950,24,NA,1.8,NA,110,22.2,NA,-9,NA,314,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,14.4,-9,36.47,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",79,35,2017,3,1,1522,"H4",60,"D",36.774,-7.2552,36.734,-7.2227,"02E2",489,"V",1,1,0,"R",1.7,NA,NA,5304,1175,24,NA,1.8,NA,112,21.9,NA,-9,NA,138,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,13.8,-9,36.5,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",72,32,2017,3,1,823,"H4",60,"D",36.8692,-7.3308,36.8473,-7.2753,"02E2",366,"V",1,1,0,"R",1.8,NA,NA,5499,950,24,NA,1.8,NA,108,21.5,NA,-9,NA,116,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,14.9,-9,36.56,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",53,10,2017,2,23,1458,"H3",60,"D",36.8965,-7.2657,36.921,-7.3203,"02E2",150,"V",1,1,0,"R",2,NA,NA,5568,450,24,NA,1.8,NA,91,20,NA,-9,NA,293,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,15.4,-9,36.29,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",55,33,2017,3,1,1027,"H3",60,"D",36.9017,-7.1688,36.8747,-7.1173,"02E2",115,"V",1,1,0,"R",2.1,NA,NA,5473,450,24,NA,1.8,NA,88,19.1,NA,-9,NA,122,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,15.4,-9,36.3,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",17,8,2017,2,23,1009,"H2",60,"D",36.9808,-7.2463,36.953,-7.193,"02E2",88,"V",1,1,0,"R",2,NA,NA,5656,325,24,NA,1.8,NA,82,18.2,NA,-9,NA,110,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,15.3,-9,36.29,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",16,9,2017,2,23,1303,"H2",60,"D",36.9838,-7.3318,36.9697,-7.2697,"02E2",99,"V",1,1,0,"R",2,NA,NA,5739,325,24,NA,1.8,NA,79,17.1,NA,-9,NA,101,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,15.4,-9,36.28,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",10,7,2017,2,23,822,"H2",60,"D",37.0307,-7.3377,37.0098,-7.2792,"03E2",70,"V",1,1,0,"R",2.1,NA,NA,5683,250,24,NA,1.8,NA,68,15.9,NA,-9,NA,110,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,15.3,-9,36.28,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",14,41,2017,3,3,817,"H2",60,"D",37.0065,-6.9862,37.0055,-6.9237,"03E3",47,"V",1,1,0,"R",2.4,NA,NA,5547,175,24,NA,1.8,NA,53,15.7,NA,-9,NA,91,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,15.3,-9,36.28,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",117,14,2017,2,24,1515,"H5",60,"D",36.3273,-7.0823,36.3232,-7.0247,"01E2",656,"V",1,1,0,"R",1.7,NA,NA,5183,1500,24,NA,1.8,NA,116,21.6,NA,-9,NA,95,2.9,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,14,-9,36.75,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",110,13,2017,2,24,1315,"H5",60,"D",36.374,-7.2133,36.3442,-7.1695,"01E2",659,"V",1,1,0,"R",1.6,NA,NA,5136,1520,24,NA,1.8,NA,117,24,NA,-9,NA,132,2.8,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,14,-9,36.77,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",112,12,2017,2,24,1026,"H5",60,"D",36.3838,-7.0268,36.4282,-7.0505,"01E2",541,"V",1,1,0,"R",1.8,NA,NA,5362,1300,24,NA,1.8,NA,109,21.6,NA,-9,NA,328,2.9,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,14.1,-9,36.67,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",135,20,2017,2,26,821,"H4",60,"D",36.0013,-6.4967,36.0423,-6.5357,"01E3",344,"V",1,1,0,"R",1.9,NA,NA,5748,875,24,NA,1.8,NA,102,20.4,NA,-9,NA,326,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,14.1,-9,36.56,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",138,19,2017,2,25,1619,"H3",60,"D",36.0573,-6.4178,36.0285,-6.3647,"01E3",103,"V",1,1,0,"R",2,NA,NA,5752,375,24,NA,1.8,NA,85,18.5,NA,-9,NA,128,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,-9,-9,-9,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",133,18,2017,2,25,1441,"H2",60,"D",36.16,-6.4,36.1105,-6.4008,"01E3",80,"V",1,1,0,"R",2.1,NA,NA,5501,300,24,NA,1.8,NA,77,17.1,NA,-9,NA,170,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,-9,-9,-9,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",121,22,2017,2,26,1346,"H4",60,"D",36.1895,-6.6605,36.2302,-6.697,"01E3",416,"V",1,1,0,"R",1.9,NA,NA,5579,1075,24,NA,1.8,NA,109,22.5,NA,-9,NA,322,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,-9,-9,-9,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",126,17,2017,2,25,1302,"H2",60,"D",36.2552,-6.4827,36.2122,-6.4472,"01E3",95,"V",1,1,0,"R",2,NA,NA,5741,325,24,NA,1.8,NA,76,16.8,NA,-9,NA,147,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,-9,-9,-9,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",70,21,2017,2,26,1105,"H3",60,"D",36.2618,-6.5855,36.3122,-6.6015,"01E3",166,"V",1,1,0,"R",1.9,NA,NA,5774,550,24,NA,1.8,NA,96,20.2,NA,-9,NA,348,3.1,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,-9,-9,-9,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",69,25,2017,2,27,953,"H3",60,"D",36.3735,-6.5833,36.33,-6.5485,"01E3",106,"V",1,1,0,"R",1.9,NA,NA,5752,350,24,NA,1.8,NA,83,18.7,NA,-9,NA,144,3.1,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,15.5,-9,36.27,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",47,15,2017,2,25,818,"H2",60,"D",36.4187,-6.4097,36.3705,-6.3892,"01E3",50,"V",1,1,0,"R",1.8,NA,NA,5658,200,24,NA,1.8,NA,66,17.6,NA,-9,NA,154,3.1,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,15.7,-9,36.35,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",98,23,2017,2,26,1537,"H4",60,"D",36.2845,-6.6625,36.331,-6.682,"01E3",297,"V",1,1,0,"R",1.9,NA,NA,5454,800,24,NA,1.8,NA,103,21.4,NA,-9,NA,340,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,-9,-9,-9,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",51,16,2017,2,25,953,"H2",60,"D",36.3337,-6.3488,36.285,-6.3313,"01E3",45,"V",1,1,0,"R",2.2,NA,NA,5630,175,24,NA,1.8,NA,64,14.3,NA,-9,NA,160,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,15.6,-9,36.36,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",113,11,2017,2,24,825,"H5",60,"D",36.3468,-6.8757,36.359,-6.9332,"01E3",514,"V",1,1,0,"R",1.8,NA,NA,5321,1225,24,NA,1.8,NA,111,22.6,NA,-9,NA,285,2.9,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,14.2,-9,36.78,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",45,24,2017,2,27,818,"H2",60,"D",36.348,-6.5217,36.3892,-6.5603,"01E3",92,"V",1,1,0,"R",1.8,NA,NA,5735,325,24,NA,1.8,NA,80,16.9,NA,-9,NA,326,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,15.6,-9,36.32,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",95,27,2017,2,27,1507,"H4",60,"D",36.356,-6.7768,36.3955,-6.8132,"01E3",398,"V",1,1,0,"R",1.8,NA,NA,5462,975,24,NA,1.8,NA,104,21.2,NA,-9,NA,316,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,14.1,-9,36.48,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",67,26,2017,2,27,1303,"H3",60,"D",36.3678,-6.6527,36.412,-6.6825,"01E3",196,"V",1,1,0,"R",1.8,NA,NA,5586,575,24,NA,1.8,NA,96,19.7,NA,-9,NA,326,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,15.1,-9,36.27,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",89,28,2017,2,28,823,"H4",60,"D",36.5142,-6.9175,36.5157,-6.979,"02E3",450,"V",1,1,0,"R",1.8,NA,NA,5495,1125,24,NA,1.8,NA,105,22.2,NA,-9,NA,266,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,13.8,-9,36.49,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",63,37,2017,3,2,1015,"H3",60,"D",36.5197,-6.7492,36.5582,-6.7875,"02E3",150,"V",1,1,0,"R",1.9,NA,NA,5479,525,24,NA,1.8,NA,96,20.1,NA,-9,NA,323,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,15.4,-9,36.3,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",39,1,2017,2,21,1458,"H2",60,"D",36.5207,-6.5132,36.5613,-6.5533,"02E3",51,"V",1,1,0,"R",2.1,NA,NA,5769,200,24,NA,1.8,NA,68,17.5,NA,-9,NA,317,3.1,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,15.5,-9,36.36,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",35,2,2017,2,21,1646,"H2",29,"D",36.5923,-6.6652,36.6132,-6.6785,"02E3",78,"I",1,1,0,"R",-9,NA,NA,2603,275,24,NA,1.8,NA,-9,-9,NA,-9,NA,334,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,15.3,-9,36.34,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",61,38,2017,3,2,1307,"H3",60,"D",36.6175,-6.8298,36.6548,-6.8692,"02E3",156,"V",1,1,0,"R",2,NA,NA,5432,550,24,NA,1.8,NA,96,20,NA,-9,NA,317,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,15.1,-9,36.21,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",35,36,2017,3,2,817,"H2",60,"D",36.6565,-6.7047,36.606,-6.6903,"02E3",75,"V",1,1,0,"R",1.8,NA,NA,5755,275,24,NA,1.8,NA,79,19.2,NA,-9,NA,165,3.1,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,15.6,-9,36.36,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",24,44,2017,3,3,1529,"H2",60,"D",36.8652,-6.921,36.8995,-6.9653,"02E3",83,"V",1,1,0,"R",2.1,NA,NA,5485,275,24,NA,1.8,NA,78,17.7,NA,-9,NA,310,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,15.4,-9,36.3,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",26,43,2017,3,3,1306,"H2",60,"D",36.886,-6.8248,36.8542,-6.7755,"02E3",48,"V",1,1,0,"R",2.2,NA,NA,5634,175,24,NA,1.8,NA,65,16.2,NA,-9,NA,124,3.1,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,15.3,-9,36.3,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",100,NA,"T4",2,5,2017,2,22,1253,"H1",60,"D",36.9212,-6.6697,36.9477,-6.724,"02E3",22,"V",1,1,0,"R",2.7,NA,NA,5653,100,24,NA,1.8,NA,41,13.3,NA,-9,NA,305,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,15,-9,36.29,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",22,42,2017,3,3,1008,"H2",60,"D",36.9487,-6.8307,36.9183,-6.7787,"02E3",40,"V",1,1,0,"R",2.2,NA,NA,5718,175,24,NA,1.8,NA,59,16.3,NA,-9,NA,128,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,15.4,-9,36.3,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",100,NA,"T4",1,6,2017,2,22,1428,"H1",60,"D",36.9527,-6.7467,36.9885,-6.7933,"02E3",26,"V",1,1,0,"R",2.6,NA,NA,5746,125,24,NA,1.8,NA,43,14.1,NA,-9,NA,315,3.1,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,14.9,-9,36.31,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",100,NA,"T4",8,3,2017,2,22,822,"H1",60,"D",36.6897,-6.5637,36.7282,-6.6058,"02E3",26,"V",1,1,0,"R",2.6,NA,NA,5693,125,24,NA,1.8,NA,43,14.2,NA,-9,NA,325,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,15.2,-9,36.35,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",82,45,2017,3,4,1431,"H4",60,"D",36.7027,-6.9508,36.7377,-6.9942,"02E3",244,"V",1,1,0,"R",1.9,NA,NA,5479,675,24,NA,1.8,NA,104,21.5,NA,-9,NA,320,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,13.6,-9,36.09,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",31,39,2017,3,2,1500,"H2",60,"D",36.7295,-6.8132,36.6943,-6.7698,"02E3",91,"V",1,1,0,"R",2,NA,NA,5493,300,24,NA,1.8,NA,84,20.3,NA,-9,NA,130,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,15.6,-9,36.34,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",100,NA,"T4",6,4,2017,2,22,954,"H1",60,"D",36.7525,-6.6067,36.794,-6.6443,"02E3",24,"V",1,1,0,"R",2.6,NA,NA,5701,100,24,NA,1.8,NA,41,13.9,NA,-9,NA,326,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,15.2,-9,36.36,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",30,40,2017,3,2,1652,"H2",60,"D",36.7612,-6.7058,36.8048,-6.7362,"02E3",41,"V",1,1,0,"R",2,NA,NA,5553,175,24,NA,1.8,NA,66,16.2,NA,-9,NA,332,3.1,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,15.5,-9,36.32,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",58,46,2017,3,4,1623,"H3",60,"D",36.8043,-6.9623,36.843,-7.0022,"02E3",114,"V",1,1,0,"R",2.1,NA,NA,5569,375,24,NA,1.8,NA,87,19,NA,-9,NA,318,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,15.2,-9,36.25,NA,NA,20200511
